Restaurant Name,outlet_count,avg_rating,total_votes,avg_votes,cities,countries,avg_cost
Asian Haus,2,4.0,1046,523.0,2,1,1500.0
Au Bon Pain,2,3.25,511,256.0,1,1,600.0
Aureo Dine & Bake House,2,1.75,370,185.0,1,1,650.0
Baba Chicken Ludhiana Wale,2,1.55,7,4.0,1,1,350.0
Ichiban,2,4.1,1533,766.0,2,2,612.0
Imly,2,3.9,1689,844.0,2,1,650.0
Imperfecto,2,3.55,2546,1273.0,2,1,1800.0
Essen Foods,2,0.0,1,0.0,1,1,600.0
Evergreen Sweets,2,2.7,30,15.0,2,1,275.0
Faaso's,2,1.8,34,17.0,2,1,600.0
Fabulous Cake Bites,2,3.5,67,34.0,1,1,400.0
Fast Trax,2,3.3,207,104.0,1,1,250.0
Hotel Malabar,2,3.3,153,76.0,1,1,350.0
Hunger Strike,2,3.5,162,81.0,2,1,350.0
Hunger's Hub,2,1.55,16,8.0,1,1,375.0
Hungry - I,2,3.15,457,228.0,1,1,500.0
Hungry Minister,2,3.5,176,88.0,1,1,400.0
Hurry's Paratha,2,3.5,92,46.0,1,1,200.0
Hwealthcafe,2,3.8,252,126.0,1,1,800.0
Hyderabad House,2,3.1,74,37.0,2,1,600.0
Harry's Bar + Cafe,2,3.65,787,394.0,1,1,1650.0
Hawkers,2,3.05,424,212.0,1,1,450.0
High On Burgers,2,3.35,152,76.0,1,1,300.0
Hornbill,2,3.55,156,78.0,1,1,425.0
Hot & Spicy,2,1.45,4,2.0,2,1,350.0
Hot Cherries,2,3.6,200,100.0,2,1,400.0
Hot Joint Fast Food,2,1.3,61,30.0,1,1,325.0
Hot Stuff,2,3.4,119,60.0,2,1,475.0
Gullu's,2,3.0,114,57.0,1,1,550.0
Gung The Palace,2,3.95,630,315.0,2,1,2500.0
Gupta Chat Corner,2,3.5,143,72.0,1,1,300.0
Gupta Ji Ka Dhaba,2,1.3,49,24.0,1,1,250.0
Gymkhana,2,4.7,328,164.0,2,2,165.0
Habibi,2,3.4,330,165.0,1,1,1525.0
Haldiram Bhujiawala,2,3.45,62,31.0,1,1,400.0
Halki Aanch,2,3.0,103,52.0,1,1,700.0
Jyoti Sweets,2,0.0,0,0.0,1,1,200.0
KC Bakers,2,1.6,14,7.0,2,1,350.0
Kake Da Dhaba,2,0.0,2,1.0,1,1,375.0
Kake Di Hatti,2,3.55,678,339.0,1,1,400.0
Kamal's,2,3.25,389,194.0,1,1,550.0
Kamboj's,2,2.6,315,158.0,1,1,800.0
Kanha Sweets,2,3.45,164,82.0,2,1,150.0
Kati Roll Cottage,2,3.6,53,26.0,1,1,200.0
Invitation,2,1.8,460,230.0,2,1,1000.0
Italiano,2,3.3,674,337.0,1,1,1500.0
JSB Evergreen Snack & Sweets,2,3.15,88,44.0,1,1,300.0
Jack Po!tato's,2,3.4,52,26.0,2,1,150.0
Jahangeer Foods,2,3.25,188,94.0,1,1,550.0
Jain Restaurant,2,1.5,7,4.0,2,1,500.0
Joey's Pizza,2,4.25,7807,3904.0,1,1,800.0
Juice Lounge,2,1.7,26,13.0,2,1,325.0
Fluffles - The Fluffy Waffle Co.,2,3.0,34,17.0,1,1,300.0
Food Express,2,1.8,128,64.0,2,1,650.0
Food Factory,2,1.5,15,8.0,1,1,400.0
Fresh Meat CO,2,1.45,4,2.0,1,1,300.0
Fresh n Refresh,2,3.1,46,23.0,1,1,500.0
Frozen Factory,2,3.8,151,76.0,2,1,200.0
Garam Dharam,2,3.55,1805,902.0,1,1,1300.0
Garam Masala,2,0.0,0,0.0,2,1,350.0
Fat Lulu's,2,3.75,319,160.0,2,1,1250.0
Firangi Bake,2,0.0,0,0.0,1,1,300.0
First Eat,2,3.8,219,110.0,1,1,300.0
Fish Streat,2,3.7,483,242.0,1,1,100000.0
Fit Bites,2,3.75,180,90.0,1,1,800.0
Flavors Of London,2,1.5,8,4.0,1,1,200.0
Flavours,2,3.1,85,42.0,2,1,550.0
Flavours Kitchen,2,0.0,3,2.0,1,1,600.0
Los Agaves,2,2.05,160,80.0,1,1,25.0
MR.D - Deliciousness Delivered,2,3.4,515,258.0,1,1,700.0
Dana Pani,2,1.4,4,2.0,1,1,275.0
Delhi Biryani Hut,2,1.35,9,4.0,2,1,300.0
Delhi Chaat Bhandar,2,0.0,1,0.0,1,1,100.0
Delhi Club House,2,4.0,497,248.0,2,1,1700.0
Delight Express,2,1.45,8,4.0,1,1,400.0
Desi Tadka,2,1.5,6,3.0,2,1,350.0
Lasha Chinese Food,2,0.0,3,2.0,1,1,275.0
Laxmi Ice Cream,2,3.55,118,59.0,1,1,175.0
Lazeez Restaurant,2,1.5,12,6.0,1,1,550.0
Le Chef,2,3.15,140,70.0,1,1,600.0
Let's Noodle,2,1.3,182,91.0,2,1,525.0
Liquid,2,3.6,35,18.0,2,1,1700.0
Litti.In,2,3.4,312,156.0,1,1,300.0
Little Italy,2,3.55,227,114.0,2,1,900.0
Kolkata Biryani House,2,3.1,513,256.0,2,1,500.0
Kolkata Hot Kathi Roll,2,2.95,56,28.0,1,1,200.0
Kolkata Kathi Roll,2,3.1,106,53.0,1,1,125.0
Konetto Pizza,2,1.75,32,16.0,1,1,150.0
Koyla Kebab,2,3.35,141,70.0,1,1,675.0
Kulcha King,2,1.9,170,85.0,2,1,150.0
Kumar Pastry Shop,2,3.25,79,40.0,1,1,300.0
La Americana,2,3.65,180,90.0,1,1,450.0
Kaveri Restaurant And Caterers,2,3.7,472,236.0,1,1,450.0
Kebab Gali,2,3.9,544,272.0,2,1,600.0
Kesarwa Bakez,2,0.0,3,2.0,1,1,550.0
Khalsa Veg Corner,2,3.25,32,16.0,1,1,300.0
Khan Chicken Biryani,2,2.9,23,12.0,1,1,500.0
Khana Khazana,2,1.85,281,140.0,1,1,500.0
Khidmat,2,3.5,741,370.0,2,1,1025.0
Kitchen King,2,1.3,55,28.0,1,1,450.0
Manohar Bikkaneri,2,3.7,145,72.0,1,1,200.0
Manohar Dairy And Restaurant,2,4.25,481,240.0,1,1,400.0
Matchbox,2,4.4,1214,607.0,2,1,1600.0
Mellow Mushroom,2,4.25,625,312.0,2,1,25.0
Metro Dhaba,2,1.9,419,210.0,2,1,325.0
Metro Fast Food,2,2.65,43,22.0,1,1,375.0
Miam,2,3.55,55,28.0,1,1,800.0
Midnight Hunger,2,3.45,55,28.0,2,1,400.0
Embassy,2,3.25,832,416.0,1,1,1600.0
Made In Punjab,2,4.05,1917,958.0,2,1,1500.0
